year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1980,0.007692801850126875,0.0006102849066906498,0.011274210644653584,0.0027623422092313624,0.13721774323065558,0.015048340988661549,0.025583785693636975,0.009363055278964442,0.000529984261073459,0.029855780040471524,0.012366299425047378,0.000738765939678155,0.0024732598850094756,0.06316448784248226,0.02417049433077442,0.006970096039572158,0.005444383772845534,0.008495808306298782,0.009073972954742555,0.001686313557961006,0.01806764526386792,0.044566858317540876,0.044823820383515886,0.021070889409950857,0.00252144027237979,0.014438056081970898,0.00104390839302348,0.0036295891818970225,0.00338868724504545,0.006552532682362766,0.07262390389618732,0.0021520573025407123,0.08727074165676292,0.0119969164552083,0.0011723894260109852,0.05013972312337391,0.015851347444833457,0.007708861979250313,0.0674364821893168,0.0022484180772813413,0.00894549192175505,0.0006745254231844024,0.010214242122506665,0.0549738219895288,0.005107121061253332,0.0033244467285516977,0.02060514566537115,0.016461632351524105,0.004480776025439244,0.020476664632383644,0.0015096521376031862
1981,0.00709623866799043,0.0005045490796048241,0.013036897185918198,0.002929639817060269,0.13769307140183265,0.014924887290245928,0.028368678895200273,0.009000504549079604,0.0009277192754024186,0.0296544652593545,0.01186504125909409,0.0008951677218795267,0.0021809540860337558,0.059081069644048766,0.024706629123874935,0.0072101691053205515,0.005859279634120538,0.0094236747448772,0.009439950521638645,0.0019530932113735128,0.01695935938542667,0.04557217493204863,0.03932227665565339,0.020214514737715857,0.002213505639556648,0.01334613694438567,0.0009114434986409727,0.004459562832636188,0.003011018700867499,0.0061685193925880115,0.07669146009993327,0.002897088263537377,0.08751485164629481,0.013281033837339888,0.001106752819778324,0.05079669927247278,0.014550544424732671,0.008170439934245861,0.06529841636692112,0.0023437118536482155,0.008495955469474781,0.0007161341775036214,0.010042154261812144,0.05802314415455478,0.004687423707296431,0.003531843557233769,0.019254243908790547,0.016731498510766427,0.004736251037580769,0.02093064891521948,0.0012695105873927832
1982,0.007318547745569097,0.00046138670569892133,0.012202882871416298,0.002195564323670729,0.13634772647723295,0.015353040379291692,0.0280014000700035,0.009752760365290991,0.0009227734113978427,0.029417379959907085,0.01209151366659242,0.0006045756833296211,0.0014796194355172305,0.05969389378559837,0.022067012441531166,0.007986762974512363,0.005966207401279155,0.009323193432398893,0.010198237184586501,0.0015273490947274636,0.017771343112610177,0.04313170203964744,0.0420657396506189,0.022480669488019855,0.002179654437267318,0.012155153212206065,0.001193241480255831,0.00338880580392656,0.0027046806885798838,0.0063321347885576095,0.07584242848506062,0.003372895917523149,0.08535654055430045,0.013157476055620962,0.0009705030706080759,0.050768447513284756,0.017787252999013587,0.008686797976262449,0.06538963311801954,0.0020205555732332073,0.007016259903904286,0.0007795844337671429,0.009545931842046648,0.060966684697871254,0.0052343526267222456,0.0030865179622617494,0.020444204028383237,0.015639418334553092,0.004375218760938047,0.021764724599866357,0.0014796194355172305
1983,0.008566662888050396,0.000615374649803242,0.013036226133989732,0.0023805282505546467,0.1411151236417224,0.014558468688766174,0.029408430632702303,0.008226587423685447,0.0008258975563148775,0.028080516914705835,0.01188644718304157,0.0008258975563148775,0.001959482437531376,0.0597723113795728,0.023076549367621577,0.007190166960858934,0.0054088192903758645,0.00770837719227219,0.010850026720215056,0.0017003773218247477,0.01677705624200418,0.04488996129617334,0.03975644119123577,0.02084176774465191,0.002331946041359654,0.012939061715599748,0.0012469433693381483,0.0036274716198927952,0.0022671697624329972,0.006121358358569092,0.07570727599553044,0.003740830108014445,0.08799857492186361,0.012906673576136419,0.0010688086022898416,0.04932713640264935,0.01693899693932082,0.00835613998153876,0.06207186928146913,0.0020242587164580332,0.007854123819857168,0.0010526145325581771,0.01036420462826513,0.05991805800715778,0.0063804634742757205,0.0034655309225761527,0.0208903499538469,0.016453174847370893,0.004356204757817687,0.019724376933167073,0.001408884066654791
1984,0.008259811378156373,0.0005932461210830545,0.012412534225737754,0.00266200182537268,0.14808335868573166,0.014450867052023121,0.031274718588378464,0.009081229084271373,0.0007909948281107393,0.02824764222695467,0.011743230909644053,0.0008822634621235169,0.0019318527532704594,0.05670824459993915,0.021554609066017645,0.0067843017949498026,0.00532400365074536,0.00804685123212656,0.009704898083358686,0.0017036811682385154,0.017036811682385154,0.043717675692120476,0.041086096744752054,0.021250380285975052,0.002327350167325829,0.012169151201703681,0.0012473379981746274,0.002981442044417402,0.002722847581381199,0.0060693641618497106,0.07120474596896867,0.003513842409491938,0.08408883480377244,0.013507757833891087,0.0013842409491937938,0.05057803468208093,0.018451475509583207,0.009872223912382112,0.06390325524794646,0.0020383328262853664,0.007605719501064801,0.0007605719501064801,0.00877700030422878,0.06324916337085489,0.006175844234864618,0.003574688165500456,0.018892607240644965,0.016261028293276542,0.003772436872528141,0.019972619409796166,0.0015667782172193489
1985,0.008011705044249045,0.0006534369362330781,0.012017557566373568,0.0024006704831171784,0.14938136568319674,0.014205150787675612,0.029347841527337812,0.008792988337571203,0.0007386678409591318,0.030256971177749052,0.013793201414833018,0.0008949244996235635,0.0019461056579115586,0.05497393354830461,0.021776496157506712,0.006434933306817052,0.0052417006406523005,0.007415088711166669,0.011122633066750003,0.0016904129437333977,0.016037615239285766,0.04508714860008239,0.04172052786340327,0.022188445530349304,0.0026137477449323125,0.01245791724079151,0.0013210790232538318,0.0033098001335284174,0.0022586189752404223,0.0060798045371251615,0.06964785431197353,0.0037785701095217126,0.08443541628194383,0.014702331065244257,0.001647797491370371,0.049462335042686476,0.01569669162038155,0.010057246757674332,0.06704831171782888,0.0018324644516101538,0.007599755671406452,0.0006534369362330781,0.00848047502024234,0.05838316973734676,0.00592354787846073,0.0029262610622611757,0.018466696023978296,0.01771382303223149,0.0042899555378780345,0.021421367387814822,0.0016620026421580465
1986,0.007569035519346078,0.0006722056411497406,0.011924928073996397,0.00212416982603318,0.15404264472587453,0.014963297571993224,0.027856201769245248,0.00994864348901616,0.0009141996719636471,0.029684601113172542,0.013255895243472883,0.001209970154069533,0.002688822564598962,0.054408324594659996,0.020233389798607188,0.006748944637143395,0.00642628592939152,0.007111935683364255,0.010607405017342905,0.0021376139388561747,0.015420397407975048,0.044392460541528865,0.04409669005942298,0.022451668414401334,0.0021913903901481543,0.012812239520314055,0.0013309671694764862,0.0029980371595278426,0.002043505149095211,0.006453174155037509,0.06474684735554301,0.0038987927186684953,0.08485924013874324,0.015433841520798042,0.0015460729746444033,0.05107418461455729,0.013094565889596945,0.012301363233040251,0.06337554784759754,0.0024468285337850555,0.007958914791212928,0.0008335349950256782,0.008617676319539674,0.059154096421177166,0.00533731279072894,0.0027425990158909414,0.01782689360329112,0.01958807238310344,0.0039391250571374796,0.021161033583393832,0.001344411282299481
1987,0.007883345827388581,0.0006166420815902111,0.012320750610596572,0.0020433825840930524,0.15568398906971684,0.0151379585519793,0.029308635407346503,0.010132275772011704,0.0009551906754044447,0.03213793436993689,0.014424588300727879,0.0011486470147268639,0.002176383817377216,0.05158029647184001,0.019901820907793872,0.006251057964355669,0.006734698812661717,0.007230430682175416,0.009854182284235726,0.0020312915628854012,0.01596014799409958,0.046344884288927045,0.04332212898701424,0.024399680797040118,0.00262375160206031,0.011788745677459918,0.0011728290571421662,0.003119483471574009,0.002394022199114937,0.006517060430923996,0.062498488622349045,0.004014219040940198,0.0817836674485527,0.016782337436219864,0.001221193141972771,0.047650714579353375,0.011014920320170242,0.011063284405000847,0.06072110850482432,0.0024907503687761467,0.008741808333131816,0.0007738253572896767,0.01080937295964017,0.06074529054723962,0.006214784900732716,0.002744661814136822,0.018849902062728217,0.019236814741373058,0.003893308828863686,0.022440935361400623,0.0011123739511039103
1988,0.008265972998538137,0.0004944535213689913,0.012124860263135265,0.0025045145756298908,0.15419425573996046,0.014898099578639608,0.027108951758534696,0.0101470461776593,0.000741680282053487,0.03110757588786654,0.014629374838765157,0.0009889070427379827,0.003579413535127698,0.054013672714764815,0.019143950468655947,0.006255911944277238,0.00484779430733511,0.0072448189870152205,0.010061054260899475,0.0020208100438558778,0.016596439934646143,0.04669361080058475,0.04479103964227363,0.02619528764296156,0.002386275690085132,0.012608564794909278,0.0012468827930174563,0.0029237251698340356,0.003117206982543641,0.006406397798606931,0.05552928024765672,0.004159858973256514,0.08507825264425144,0.016650184882621034,0.001193137845042566,0.04494152549660332,0.010974718376472611,0.010630750709433314,0.06005460486714249,0.0031817009201135092,0.0089216613638318,0.0006664373548886405,0.011447673918651646,0.062376386619657755,0.006567632642531602,0.0030849600137587067,0.01952016510448018,0.020057614584229083,0.0038481382750021496,0.022508384211884083,0.0012683807722074125
1989,0.008260970186047916,0.0007647183119849472,0.0129700250545868,0.0024752724308986446,0.1532052765563527,0.015133372910860006,0.025074710966664318,0.011440588430616907,0.0005936629000935774,0.03217854160168238,0.015123310827807573,0.0009659599730336174,0.003421108237827395,0.05414406890514474,0.01898715071994204,0.006560478150186652,0.005403338599156798,0.007697493535111639,0.009709910145598341,0.001911795779962368,0.0166628095348299,0.0459635953835163,0.0425424871456889,0.024551482647937776,0.002525582846160812,0.013010273386796535,0.0012376362154493223,0.0033104253242506264,0.0031192457462543895,0.007134016884175362,0.05919523459746637,0.004407192376965879,0.08759043297143375,0.016642685368725034,0.001408691627340692,0.04515862873932162,0.01096767052715253,0.010313635128744352,0.05547226386806597,0.0021935341054305064,0.009035750581085297,0.0008452149764044153,0.011269533018725537,0.06247547367255969,0.006862340641759657,0.0026664520088948815,0.020275097350653533,0.01995311069297566,0.0037732811446625682,0.022317700210297536,0.0010967670527152532
